Baranggay,Year,Month,Max Temperature,Min Temperature,Max Humidity,Min Humidity,Daily Precipitation,Forest Land Percentage,Elevation,Soil Type,Dengue Cases
Tagbaros,2022,MAR,31.7,21.6,89,78,9.5,100,High,"Camasan sandy clay loam, Mountain soil",0
Tagbaros,2022,APR,33.1,22.4,82,76,18.2,100,High,"Camasan sandy clay loam, Mountain soil",0
Tagbaros,2022,MAY,32.6,22.3,87,76,6.9,100,High,"Camasan sandy clay loam, Mountain soil",0
Tagbaros,2022,JUNE,34.1,22.3,82.4,66,3.6,100,High,"Camasan sandy clay loam, Mountain soil",0
Tagbaros,2022,JULY,34.2,22.1,89,77,9.9,100,High,"Camasan sandy clay loam, Mountain soil",0
Tagbaros,2022,AUG,34.1,21,86,71,5,100,High,"Camasan sandy clay loam, Mountain soil",0
Tagbaros,2023,MAR,32.2,23.9,87,73,8.3,100,High,"Camasan sandy clay loam, Mountain soil",0
Tagbaros,2023,APR,33.7,21.8,82,64,6.2,100,High,"Camasan sandy clay loam, Mountain soil",1
Tagbaros,2023,MAY,33.7,21.9,83,69,12.9,100,High,"Camasan sandy clay loam, Mountain soil",1
Tagbaros,2023,JUNE,33.7,21.4,87.57,69,11.7,100,High,"Camasan sandy clay loam, Mountain soil",0
Tagbaros,2023,JULY,32.4,21.2,85,72,5.7,100,High,"Camasan sandy clay loam, Mountain soil",0
Tagbaros,2023,AUG,33.6,21.5,85,70,12.3,100,High,"Camasan sandy clay loam, Mountain soil",0
Masara,2024,JAN,34.7,27.5,82,68,0.7,100,High,Camasan sandy clay loam,0
Masara,2024,FEB,34.3,25.4,83,70,1.8,100,High,Camasan sandy clay loam,0
Masara,2024,MAR,35.8,25.5,78,64,1,100,High,Camasan sandy clay loam,0
Masara,2024,APR,34.4,25.43,82,69,5.4,100,High,Camasan sandy clay loam,0
Masara,2024,MAY,35.4,24.6,83,73,6.8,100,High,Camasan sandy clay loam,0
Masara,2019,JAN,30.7,22.3,93,76,11.3,100,High,Camasan sandy clay loam,0
Masara,2019,FEB,32.3,22.5,85,63,0.9,100,High,Camasan sandy clay loam,0
Masara,2019,MAR,32.8,23.2,85,65,4.4,100,High,Camasan sandy clay loam,0
Masara,2019,APR,34,24.7,82,69,2.2,100,High,Camasan sandy clay loam,0
Masara,2019,MAY,34.5,25.4,84,65,8.1,100,High,Camasan sandy clay loam,0
Masara,2019,JUNE,33.7,24.9,87.9,73,10.6,100,High,Camasan sandy clay loam,0
Masara,2019,JULY,32.2,23.8,90,74,6,100,High,Camasan sandy clay loam,0
Masara,2019,AUG,32.9,24.9,84,72,6.5,100,High,Camasan sandy clay loam,0
Masara,2019,SEPT,33.4,24.9,86,76,2,100,High,Camasan sandy clay loam,0
Masara,2019,OCT,33.9,24.3,87,72,8.6,100,High,Camasan sandy clay loam,0
Masara,2019,NOV,34.3,24.1,87,64,4.2,100,High,Camasan sandy clay loam,0
Masara,2019,DEC,32.3,23.2,89.1,71.6,5.4,100,High,Camasan sandy clay loam,0
Masara,2020,JAN,32.2,22.7,90,71,4.5,100,High,Camasan sandy clay loam,0
